username,created_at,tweet,likes_count,retweets_count,urls,
username,created_at,tweet,likes_count,retweets_count,urls,
guardian,2021-07-15 00:05:35 MSK,"Guardian front page, Thursday 15 July 2021: Amazon alarm as rainforest now emits more CO2 than it absorbs https://t.co/o5I7j7z67F",986,532,https://t.co/o5I7j7z67F,
washingtonpost,2021-09-10 17:47:46 MSK,"Harvard University has announced it is now on a path to end all of its investments in the fossil-fuel industry, a landmark victory for climate activists https://t.co/zZwUhn1nDm",989,190,https://wapo.st/38WPIuu,
guardian,2019-08-19 06:58:28 MSK,Iceland holds funeral for first glacier lost to climate change https://t.co/YPcfE2wVFJ,751,442,https://www.theguardian.com/world/2019/aug/19/iceland-holds-funeral-for-first-glacier-lost-to-climate-change?utm_term=Autofeed&CMP=twt_gu&utm_medium=&utm_source=Twitter#Echobox=1566185699,
natgeo,2019-07-24 00:18:30 MSK,Sometimes parched animals get a little help from humans during a heat wave ,5621,1816,https://t.co/JphAS8031V,0.0002684837545
natgeo,2019-07-06 16:05:04 MSK,"“If we act now, this could cut carbon dioxide in the atmosphere by up to 25 percent, to levels last seen almost a century ago.” https://t.co/0BW0hB0liK",4148,1684,https://on.natgeo.com/2LE4U5b,0.0002105415162
reuters,2021-09-09 11:00:02 MSK,Russian gardener Nikifor Ivanov grows a special breed of apples the size of pearls which can withstand the extreme weather conditions in Siberia https://t.co/NYDwFZKw89,502,127,https://t.co/NYDwFZKw89,
nytimes,2020-09-26 22:20:52 MSK,"The world is paying a price — more vicious heat waves, longer wildfire seasons, and rising sea levels — for the choices that countries made decades ago to keep pumping heat-trapping greenhouse gases into the atmosphere, according to interviews with two dozen climate experts. https://t.co/hqapVtV2Uk",3238,1686,https://t.co/hqapVtV2Uk,
reuters,2021-12-16 06:20:25 MSK,European supermarkets stop selling Brazil beef over deforestation links https://t.co/H2wKl3MMgT https://t.co/QVyjDD6tbw,487,162,http://reut.rs/3GJQOsk,
guardian,2021-07-14 18:09:46 MSK,Amazon rainforest now emitting more CO2 than it absorbs https://t.co/0UtQIHrMAr,560,500,https://www.theguardian.com/environment/2021/jul/14/amazon-rainforest-now-emitting-more-co2-than-it-absorbs?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1626275387-1,
washingtonpost,2021-11-12 00:04:39 MSK,"How much warming can the world bear? That question is one of the fundamental issues in dispute at the U.N. climate change summit, known as #COP26. Here’s what different levels of warming would look like, and how global temperature targets have been set. https://t.co/Tv0u2LU7Nm https://t.co/ct38xccwFi",985,576,https://wapo.st/3H9Q5BX,
reuters,2021-09-23 23:20:00 MSK,Cameroon's Minawao refugee camp has been transformed into an ocean of green - the outcome of an ambitious reforestation project to plant hundreds of thousands of seedlings https://t.co/FI64uhTkkK,441,146,https://t.co/FI64uhTkkK,
guardian,2019-06-18 03:45:32 MSK,Photograph lays bare reality of melting Greenland sea ice https://t.co/tEthfAbCKn,410,428,https://www.theguardian.com/world/2019/jun/18/photograph-melting-greenland-sea-ice-fjord-dogs-water?utm_term=Autofeed&CMP=twt_gu&utm_medium=&utm_source=Twitter#Echobox=1560818539,
reuters,2021-10-23 01:55:19 MSK,BMW to phase out fossil-fuel burning engines from main plant by 2024 https://t.co/tEyrreInpJ https://t.co/HqIclr8SvC,420,96,http://reut.rs/3pu6Ocw,
guardian,2019-06-06 00:31:58 MSK,Real Madrid to sign Eden Hazard after agreeing a fee with Chelsea https://t.co/W9W08X9so9,371,188,https://www.theguardian.com/football/2019/jun/05/eden-hazard-real-madrid-chelsea-agree-fee?CMP=twt_gu&utm_medium=&utm_source=Twitter#Echobox=1559770318,
guardian,2020-04-19 09:18:16 MSK,"CEOs, not the unemployed, are America's real 'moral hazard' | Robert Reich https://t.co/k0kKlMpXAP",347,147,https://www.theguardian.com/commentisfree/2020/apr/18/coronavirus-stimulus-checks-unemployment-benefits?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1587274067,
reuters,2021-09-09 02:10:00 MSK,"Russian gardener Nikifor Ivanov grows a breed of frost-resistant apples which can withstand the extreme weather conditions in Siberia, but are the size of pearls https://t.co/q2c0nu5tnC",411,120,https://t.co/q2c0nu5tnC,
nytimes,2022-01-28 04:40:04 MSK,"Breaking News: A federal judge revoked Gulf of Mexico oil and gas leases, ruling the Biden administration failed to consider climate change when it sold them. https://t.co/CKlDczpgAx",2874,714,https://nyti.ms/3AAKn9f,
reuters,2021-11-09 02:30:00 MSK,WATCH: Apples the size of pearls: A Russian gardener grows this special breed of apples which can withstand the extreme weather conditions in Siberia https://t.co/uS01fDsKtK,396,99,https://t.co/uS01fDsKtK,
natgeo,2021-02-28 18:16:03 MSK,An Inuit hunter stands on the edge of the Arctic's shrinking sea ice in this powerful image by photographer Paul Nicklen. ,3978,574,https://t.co/mSx73rhDGK,
natgeo,2021-02-28 18:16:03 MSK,An Inuit hunter stands on the edge of the Arctic's shrinking sea ice in this powerful image by photographer Paul Nicklen. https://t.co/mSx73rhDGK,3978,574,https://t.co/mSx73rhDGK,
washingtonpost,2021-11-26 19:46:43 MSK,"Biden administration pushes to raise rates for oil and gas drilling on public lands and waters, citing climate change https://t.co/WWTOTppbvo",937,413,https://www.washingtonpost.com/climate-environment/2021/11/26/biden-oil-gas-drill-public-lands/,
guardian,2021-12-15 05:51:26 MSK,Six dead giraffes: Kenya drought horror captured in single picture https://t.co/Q3KNIihrDR,261,166,https://www.theguardian.com/world/2021/dec/14/six-dead-giraffes-kenya-drought-horror-captured-picture?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1639529305,
reuters,2021-10-22 22:45:14 MSK,BMW to phase out fossil-fuel burning engines from main plant by 2024 https://t.co/9QlJYZpoM5 https://t.co/0muJncC2DV,382,91,http://reut.rs/3GcEGRm,
natgeo,2020-10-10 01:01:30 MSK,"With the bright scarlet feathers of a male on one side and the yellow plumage of a female on the other, this songbird is a genetic anomaly https://t.co/j5wzzZUmIZ",3475,648,https://on.natgeo.com/2FfS3p4,
reuters,2020-07-05 00:25:00 MSK,WATCH: Latvia is honoring healthcare workers with a giant statue. It was built over three weeks using light-weight synthetic foam that is resistant to extreme weather and will stay up until next year https://t.co/XT5AWENsS7,382,115,https://t.co/XT5AWENsS7,
washingtonpost,2020-01-29 19:39:05 MSK,The Guardian ends advertising from fossil fuel companies because of climate change https://t.co/zZFO95SE6Y,906,267,https://wapo.st/2S2E5cD,
guardian,2021-11-04 02:23:31 MSK,Jimmy Kimmel on Cop26 deforestation pledge: ‘A deal to save the Amazon from Amazon’ https://t.co/QJj1PbCckE,259,54,https://www.theguardian.com/culture/2021/nov/03/jimmy-kimmel-cop26-amazon-late-night-tv?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1635967680,
guardian,2021-12-17 00:22:38 MSK,Supermarkets drop Brazilian beef products linked to deforestation https://t.co/cXAOq5IdPf,256,56,https://www.theguardian.com/environment/2021/dec/16/supermarkets-drop-brazilian-beef-products-linked-to-deforestation?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1639678014,
washingtonpost,2020-04-30 14:22:06 MSK,"Coronavirus is driving down global carbon dioxide emissions to levels last seen 10 years ago, agency says https://t.co/7KDFzXpN2X",883,280,https://wapo.st/2YkP2Lu,
reuters,2021-12-04 13:25:00 MSK,WATCH: A Norwegian technology company has found a way to stop livestock slurry from releasing methane - by zapping it with artificial lightning https://t.co/EU2mtqESmF,367,134,https://t.co/EU2mtqESmF,
washingtonpost,2021-01-26 00:26:05 MSK,Biden likely to halt new fossil fuel leasing on federal lands and waters Wednesday https://t.co/pjtPHEoVrw,864,133,https://wapo.st/2M2JWj6,
reuters,2021-07-19 01:45:00 MSK,German Chancellor Angela Merkel described the flooding that has devastated parts of Europe as ‘terrifying’ after the death toll rose to 188 and a district of Bavaria was battered by extreme weather https://t.co/OKjdOC0nPf https://t.co/4P7IjZJA97,362,158,https://reut.rs/3Bc0yd7,
washingtonpost,2021-12-30 20:08:43 MSK,"But there’s another value it holds: the carbon dioxide locked inside. The miraculous process that sustains life on Earth is embedded within the tree’s vast trunk, a reservoir for the greenhouse gases that now threaten humanity. https://t.co/hDZxdCKgJU https://t.co/pPo0DDbPB1",835,304,https://wapo.st/3HeWRWa,
reuters,2021-12-12 05:15:06 MSK,Biden approves Kentucky emergency declaration for tornado disaster https://t.co/987JUj6Jw6 https://t.co/U6AVwchTHP,353,59,http://reut.rs/3oJQ00v,
reuters,2021-09-15 07:00:00 MSK,"Scientists in Germany are trying to do potty-train cows to reduce greenhouse gas emissions. In the study, scientists tried a method dubbed 'MooLoo training' to teach calves to use a toilet area in their barn 🐮 https://t.co/M5Du30dugE",349,126,https://t.co/M5Du30dugE,
reuters,2021-11-09 06:30:00 MSK,ICYMI: Russian gardener Nikifor Ivanov grows a special breed of apples the size of pearls which can withstand the extreme weather conditions in Siberia https://t.co/MraOnXJp2t,348,86,https://t.co/MraOnXJp2t,
reuters,2021-11-08 22:30:00 MSK,"ICYMI: Russian gardener Nikifor Ivanov grows a breed of frost-resistant apples which can withstand the extreme weather conditions in Siberia, but are the size of pearls https://t.co/H1pMQj3Ddm",337,78,https://t.co/H1pMQj3Ddm,
reuters,2021-08-10 09:30:00 MSK,"Referring to a recent extreme weather events, @GretaThunberg said in an interview with @Reuters, ‘These are all just symptoms of the climate crisis. We're not talking about the root cause itself, the things that is actually fueling these events’ https://t.co/jJipEZK8xd https://t.co/Fo3D2p0f8C",329,78,https://reut.rs/2U9y1nO,
reuters,2021-12-05 16:06:00 MSK,"The eruption of Indonesia's Semeru volcano killed at least 14 people and injured dozens, the disaster mitigation agency said https://t.co/qqDnZ1GGIx https://t.co/LmawOPdzTG",320,142,https://reut.rs/3IeobFc,
reuters,2021-11-08 18:30:00 MSK,"WATCH: Nikifor Ivanov, a Russian gardener who lives in Yakutsk, a Siberian city built on permafrost, grows a breed of frost-resistant apples the size of pearls https://t.co/U0bIEe1ev5",293,108,https://t.co/U0bIEe1ev5,
reuters,2022-01-18 11:20:00 MSK,"An extreme weather warning was in effect across the East Coast of the United States and Canada, with a winter storm expected to dump more than two feet of snow in some areas https://t.co/3ABVJdQ2WM https://t.co/deCL88rxcx",284,120,https://reut.rs/3Ahg4UY,
guardian,2020-07-27 15:04:14 MSK,Revealed: new evidence links Brazil meat giant JBS to Amazon deforestation https://t.co/YJmpOk8GRR,252,165,https://www.theguardian.com/environment/2020/jul/27/revealed-new-evidence-links-brazil-meat-giant-jbs-to-amazon-deforestation?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1595848499,
reuters,2021-10-22 18:55:20 MSK,BMW to phase out fossil-fuel burning engines from main plant by 2024 https://t.co/TwTYu1UhjP https://t.co/QrKlJoqWaG,279,81,http://reut.rs/3GfpnXO,
reuters,2020-06-25 04:40:00 MSK,Latvia is honoring healthcare workers with a giant statue. It was built over three weeks using light-weight synthetic foam that is resistant to extreme weather and will stay up until next year https://t.co/2B0eD82B0h,272,81,https://t.co/2B0eD82B0h,
reuters,2022-01-09 21:45:00 MSK,WATCH: An Australian biotech startup says its drones can combat deforestation by planting millions of trees a year from the air https://t.co/nXS25KW7L0,271,84,https://t.co/nXS25KW7L0,
washingtonpost,2021-11-17 15:35:03 MSK,"Two women scaled a huge coal handling machine, disrupting operations at the world’s largest coal port for several hours to protest what they say is Australia’s lack of action on climate change https://t.co/Oq2H7FnOVF",810,118,https://wapo.st/3qLPLDq,
reuters,2021-10-02 13:00:01 MSK,"ICYMI: ‘Thirty years of blah, blah, blah,’ @GretaThunberg told the opening session of a Youth4Climate event, striking a skeptical tone for this week’s climate talks in Italy https://t.co/mskHfSsG9c https://t.co/iAKBE6lSDm",262,67,https://reut.rs/2Wi7K7F,
guardian,2020-10-22 15:22:15 MSK,Alarm as Arctic sea ice not yet freezing at latest date on record https://t.co/nQ4KZ55acE,235,138,https://www.theguardian.com/world/2020/oct/22/alarm-as-arctic-sea-ice-not-yet-freezing-at-latest-date-on-record?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1603365864,
washingtonpost,2021-05-09 03:28:25 MSK,"World awaits Chinese rocket to reenter the atmosphere, not knowing where it will land https://t.co/epCmgrPmRl",683,275,https://wapo.st/3nZn0zK,
reuters,2020-07-05 13:15:00 MSK,ICYMI: Latvia is honoring healthcare workers with a giant statue. It was built over three weeks using light-weight synthetic foam that is resistant to extreme weather and will stay up until next year https://t.co/413bG5lgGO,259,77,https://t.co/413bG5lgGO,
reuters,2021-02-19 12:40:00 MSK,The White House said a severe winter storm engulfing Texas and nearby states was the type of extreme weather event that climate change is triggering https://t.co/HUJ65f06VZ https://t.co/QazA0RWM8D,254,75,https://reut.rs/2NATTom,
reuters,2021-12-05 15:25:00 MSK,WATCH: A Norwegian technology company hopes that it can use artificial lightning to help trap the release of methane – a potent greenhouse gas – from cow dung and mitigate the effects of climate change https://t.co/UjdkAtdmnQ,253,52,https://t.co/UjdkAtdmnQ,
reuters,2021-10-03 15:00:00 MSK,"WATCH: ‘Thirty years of blah, blah, blah,’ @GretaThunberg told the opening session of a Youth4Climate event, striking a skeptical tone for this week’s climate talks in Italy https://t.co/mskHfSsG9c https://t.co/DamYhrPVpx",248,52,https://reut.rs/2Wi7K7F,
reuters,2022-01-05 01:30:00 MSK,An Australian biotech startup says its drones can combat deforestation by planting millions of trees a year from the air https://t.co/95ego3V4GX,244,81,https://t.co/95ego3V4GX,
reuters,2021-10-31 01:30:00 MSK,WATCH: Senegalese farmers are planting specially designed drought resistant circular gardens of edible and medicinal plants with the aim of boosting food security and reducing regional desertification https://t.co/f0Dr4evC5P,244,84,https://t.co/f0Dr4evC5P,
reuters,2022-01-08 21:45:00 MSK,WATCH: An Australian biotech startup says its drones can combat deforestation by planting millions of trees a year from the air https://t.co/RbHgulPIbN,239,79,https://t.co/RbHgulPIbN,
reuters,2021-10-30 17:30:00 MSK,"WATCH: These Senegalese farmers are planting spiraling gardens of edible and medicinal plants. Their purpose is multifold: reforestation, slowing desertification and improving food security and livelihoods of the people living in the Sahel region https://t.co/nMP7nQnq6C",233,78,https://t.co/nMP7nQnq6C,
reuters,2021-10-31 15:30:00 MSK,"WATCH: These Senegalese farmers are planting spiraling gardens of edible and medicinal plants. Their purpose is multifold: reforestation, slowing desertification and improving food security and livelihoods of the people living in the Sahel region https://t.co/ghJOXRUbKG",228,67,https://t.co/ghJOXRUbKG,
guardian,2021-04-27 10:16:16 MSK,Real Madrid’s forgotten man Eden Hazard could return to haunt Chelsea | Sid Lowe https://t.co/vKG9Bfwo31,214,16,https://www.theguardian.com/football/2021/apr/27/eden-hazard-real-madrid-forgotten-man-chelsea-champions-league?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1619507741,
reuters,2020-04-24 09:10:00 MSK,"Projeto Plantar is a Brazilian NGO which has produced over one million seedlings over two years, to be used in reforestation efforts of the Amazon https://t.co/MCH8hf82Y5",228,81,https://t.co/MCH8hf82Y5,
nytimes,2021-09-02 18:30:08 MSK,"Watch: The New York area was under a state of emergency on Thursday after the remnants of Hurricane Ida led to at least 14 deaths and disrupted subway service. Across the city, New Yorkers documented the scene as flood waters overwhelmed buses and subways. https://t.co/spVsdgF0XX https://t.co/r2vg2aDRVg",2753,1395,https://nyti.ms/3kMvSro,
reuters,2022-01-20 01:40:18 MSK,Peru says oil spill caused by Tonga waves is an 'ecological disaster' https://t.co/mhZO9zhDL2 https://t.co/ugHVgIlBj4,226,156,http://reut.rs/3GFMRoW,
nytimes,2021-10-17 22:00:11 MSK,"As Senator Joe Manchin blocks President Biden’s climate plan, new data shows that no state is more exposed to flood damage than his own. https://t.co/DsuRUGPZGc",2604,1080,https://nyti.ms/30uNDF3,
guardian,2020-04-07 20:30:44 MSK,Record-size hole opens in ozone layer above the Arctic https://t.co/qLIeIXIbUB,213,178,https://www.theguardian.com/environment/2020/apr/07/record-size-hole-opens-in-ozone-layer-above-the-arctic?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1586274927,
reuters,2022-01-09 01:45:00 MSK,WATCH: A drone designed by Australian startup AirSeed Technology aims to combat deforestation by planting millions of trees a year from the air https://t.co/IhAxTrBMAg,224,80,https://t.co/IhAxTrBMAg,
reuters,2021-08-15 07:05:00 MSK,"ICYMI: Referring to recent extreme weather events, @GretaThunberg said in an interview with @Reuters, ‘These are all just symptoms of the climate crisis. We're not talking about the root cause itself, the things that is actually fueling these events’ https://t.co/jJipEZsxFF https://t.co/S5BjcLC9Hg",223,79,https://reut.rs/2U9y1nO,
reuters,2020-04-08 17:30:00 MSK,Fiji's Prime Minister Frank Bainimarama asks people to stay indoors as tropical cyclone batters the country https://t.co/3Frsn8qoMO https://t.co/NGWwN3KERf,223,119,https://reut.rs/2Ript9m,
reuters,2021-08-10 00:40:00 MSK,The U.N. panel on climate change said the world is dangerously close to runaway warming and humans are ‘unequivocally’ to blame. Greenhouse gas levels in the atmosphere are high enough to guarantee climate disruption for decades if not centuries https://t.co/dfVGwy1f9Y https://t.co/4aXyT0CKrL,220,142,https://reut.rs/3xEJ8ms,
reuters,2021-12-05 13:25:00 MSK,WATCH: A Norwegian technology company has found a way to stop livestock slurry from releasing methane - by zapping it with artificial lightning https://t.co/IGcMJUEq37,217,67,https://t.co/IGcMJUEq37,
washingtonpost,2021-12-30 20:41:36 MSK,"As world leaders struggle to save the planet from the worst impacts of global warming, the preservation of old-growth forests is critical to keeping billions of tons of carbon dioxide out of the atmosphere. https://t.co/hDZxdCKgJU https://t.co/u3g3KohtUC",588,245,https://wapo.st/3HeWRWa,
nytimes,2021-07-14 18:36:14 MSK,"Breaking News: Parts of the Amazon are now emitting more carbon dioxide than they absorb, reducing the forest’s ability to be a buffer for climate change, a new study found. Deforestation and global warming have contributed to the change. https://t.co/bzj2E1Y5CW",2539,1535,https://nyti.ms/36Dp8VY,
reuters,2021-09-04 03:20:00 MSK,"President Joe Biden wants to expand the U.S. charging network for electric vehicles significantly, a key part of his agenda to curb greenhouse gas emissions and combat climate change. Here’s what you need to know https://t.co/toUG1g3Te2 https://t.co/ErGA6TtvW9",215,54,https://reut.rs/3kR8U2m,
guardian,2021-08-20 21:21:28 MSK,Deforestation in Brazilian Amazon hits highest annual level in a decade https://t.co/CPRRLeUTst,203,167,https://www.theguardian.com/environment/2021/aug/20/brazil-amazon-deforestation-report-bolsonaro-climate?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1629483631,
nytimes,2021-08-09 12:48:44 MSK,"Humanity can still prevent the planet from getting even hotter, but it would require a major shift: If the world managed to stop adding CO2 to the atmosphere by around 2050, warming could conceivably stabilize at about 1.5 degrees Celsius, the report says. https://t.co/1wYFtTxFPW",2526,1046,https://nyti.ms/3CuOd4f,
reuters,2021-11-06 05:00:01 MSK,"An Israeli startup has joined the fight against global warming by seeking inspiration in the upper atmosphere, where it hopes to send fleets of balloons that will trap carbon dioxide for recycling https://t.co/PfyREoX0qI https://t.co/HEB4e1zDnc",210,71,https://reut.rs/3mNLk8L,
reuters,2021-12-16 20:01:11 MSK,"For refugees, migrants, asylum-seekers, as well as people afflicted by natural disasters or other events that put them out of reach of government help, COVAX created a Humanitarian Buffer – a last-resort reserve of shots to be administered by humanitarian groups 5/7 https://t.co/VUcaXaq9Fg",207,101,https://t.co/VUcaXaq9Fg,
reuters,2021-08-16 00:45:00 MSK,"ICYMI: Referring to a recent extreme weather events, @GretaThunberg said in an interview with @Reuters, ‘These are all just symptoms of the climate crisis. We're not talking about the root cause itself, the things that is actually fueling these events’ https://t.co/jJipEZsxFF https://t.co/L1fuwkxNHw",204,65,https://reut.rs/2U9y1nO,
reuters,2022-01-05 09:30:00 MSK,A drone designed by Australian startup AirSeed Technology aims to combat deforestation by planting millions of trees a year from the air https://t.co/hojW8miGXv,200,62,https://t.co/hojW8miGXv,
guardian,2021-06-28 00:12:07 MSK,Thorgan Hazard strike sinks Portugal and puts Belgium in quarters https://t.co/pdWYlAKFeR,191,26,https://www.theguardian.com/football/2021/jun/27/belgium-portugal-euro-2020-match-report?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1624828260,
reuters,2021-12-04 08:50:00 MSK,"Italian pasta producers fear a substantial supply squeeze as prices of durum wheat, a key ingredient, rose to 13-year highs following dire harvests in top exporter Canada, due to extreme heat and drought https://t.co/4gKN5ocWIo",198,114,https://t.co/4gKN5ocWIo,
reuters,2022-01-24 23:20:00 MSK,"The world is ‘not on a good track’ to meet a global goal to avoid the worst impacts of climate change and must intensify efforts to move away from fossil fuels this decade, John Kerry, the U.S. special envoy on climate change, said https://t.co/7hJb69E2V6 https://t.co/b75ic826zt",197,77,https://reut.rs/3KE7pAu,
nytimes,2021-09-02 23:40:49 MSK,"""Seeing this guy push his bicycle past these people in Mercedes to deliver Chinese food just turned my stomach,"" Johnny Miller, a freelance photographer, said. ""Some of us have the privilege to not work during a disaster and some of us don’t."" https://t.co/suosyNaqfn",2399,391,https://nyti.ms/38BP7ya,
